Date	DateFormat	MaxPrecip	MaxSnowDpth	Precip	Snow	MaxTemp	MeanTemp	MinTemp
20020101	1-Jan-2002	381	76	1613	109	103	-35	34
20020201	1-Feb-2002	361	0	626	0	110	-40	35
20020301	1-Mar-2002	572	0	2735	0	153	7	80
20020401	1-Apr-2002	361	0	1406	0	240	75	158
20020501	1-May-2002	432	0	1497	0	240	87	164
20020601	1-Jun-2002	315	0	1222	0	277	150	213
20020701	1-Jul-2002	279	0	1112	0	283	169	226
20020801	1-Aug-2002	627	0	1665	0	276	155	216
20020901	1-Sep-2002	1410	0	5611	0	227	144	186
20021001	1-Oct-2002	732	0	1699	0	181	97	139
20021101	1-Nov-2002	579	0	2042	0	102	-6	48
20021201	1-Dec-2002	686	25	2735	0	83	-26	28
20030101	1-Jan-2003	838	102	1809	89	62	-57	4
20030201	1-Feb-2003	876	102	2142	127	92	-25	34
20030301	1-Mar-2003	594	25	2089	25	160	26	93
20030401	1-Apr-2003	554	0	2168	0	200	47	123
20030501	1-May-2003	917	0	3607	0	222	113	168
20030601	1-Jun-2003	1234	0	3558	0	247	130	189
20030701	1-Jul-2003	2324	0	4067	0	252	156	204
20030801	1-Aug-2003	681	0	3456	0	252	161	206
20030901	1-Sep-2003	2014	0	4649	0	214	110	162
20031001	1-Oct-2003	551	0	916	0	168	48	108
20031101	1-Nov-2003	2464	0	4236	0	170	29	99
20031201	1-Dec-2003	742	102	2205	153	83	-43	20
20040101	1-Jan-2004	213	51	762	50	94	-42	26
20040201	1-Feb-2004	635	102	2184	102	72	-33	20
20040301	1-Mar-2004	163	25	804	20	156	10	83
20040401	1-Apr-2004	818	0	1201	0	189	46	118
20040501	1-May-2004	958	0	2044	0	222	120	171
20040601	1-Jun-2004	582	0	2670	0	227	146	187
20040701	1-Jul-2004	1285	0	5984	0	236	154	195
20040801	1-Aug-2004	287	0	1446	0	221	141	181
20040901	1-Sep-2004	3660	0	7564	0	218	124	171
20041001	1-Oct-2004	99	0	317	0	180	88	134
20041101	1-Nov-2004	602	0	1618	0	159	37	98
20041201	1-Dec-2004	1173	0	2522	0	96	-39	29
20050101	1-Jan-2005	554	51	1158	51	107	-25	41
20050201	1-Feb-2005	259	25	1187	30	95	-15	40
20050301	1-Mar-2005	1148	0	2257	16	117	-4	57
20050401	1-Apr-2005	290	0	1438	0	174	40	107
20050501	1-May-2005	290	0	880	0	215	80	149
20050601	1-Jun-2005	1676	0	5366	0	221	140	181
20050701	1-Jul-2005	1237	0	6055	0	240	165	203
20050801	1-Aug-2005	419	0	2321	0	236	165	201
20050901	1-Sep-2005	183	0	419	0	233	124	179
20051001	1-Oct-2005	577	0	853	0	175	76	126
20051101	1-Nov-2005	1242	0	2356	0	132	32	84
20051201	1-Dec-2005	417	0	1783	0	77	-36	20
20060101	1-Jan-2006	658	0	2234	0	113	-11	52
20060201	1-Feb-2006	762	152	1267	153	77	-30	24
20060301	1-Mar-2006	279	25	470	33	126	8	66
20060401	1-Apr-2006	318	0	934	0	213	62	137
20060501	1-May-2006	277	0	567	0	198	85	141
20060601	1-Jun-2006	724	0	1849	0	242	134	188
20060701	1-Jul-2006	373	0	1329	0	244	156	200
20060801	1-Aug-2006	620	0	2237	0	242	162	202
20060901	1-Sep-2006	808	0	2702	0	193	113	153
20061001	1-Oct-2006	566	0	1333	0	160	56	108
20061101	1-Nov-2006	1105	0	2011	0	142	5	75
20061201	1-Dec-2006	1280	0	3330	0	123	3	63
20070101	1-Jan-2007	747	0	1672	0	91	-23	35
20070201	1-Feb-2007	229	25	644	25	87	-46	21
20070301	1-Mar-2007	1270	0	1750	0	175	33	103
20070401	1-Apr-2007	414	25	871	25	175	35	105
20070501	1-May-2007	188	0	600	0	223	85	154
20070601	1-Jun-2007	866	0	2292	0	243	131	187
20070701	1-Jul-2007	904	0	1696	0	249	153	200
20070801	1-Aug-2007	170	0	635	0	274	167	220
20070901	1-Sep-2007	566.5	0	1303.5	0	232	126	179
20071001	1-Oct-2007	937.5	0	2121.5	0	181	82	131
20071101	1-Nov-2007	245.5	0	517.5	0	131	2	66
20071201	1-Dec-2007	473.5	12.5	1432	57	103	-5	49
20080101	1-Jan-2008	623.5	82.5	1442	144.5	67	-51	8
20080201	1-Feb-2008	641.5	0	2060	0	104	-22	41
20080301	1-Mar-2008	1241	0	3671	0	130	-12	59
20080401	1-Apr-2008	363.5	0	1179.5	0	196	51	123
20080501	1-May-2008	123.5	0	530	0	208	85	146
20080601	1-Jun-2008	133.5	0	360	0	257	137	197
20080701	1-Jul-2008	373.5	0	1331.5	0	252	138	195
20080801	1-Aug-2008	1361.5	0	2543.5	0	243	149	196
20080901	1-Sep-2008	326.5	0	430.5	0	218	131	174
20081001	1-Oct-2008	800	0	1260	0	160	46	103
20081101	1-Nov-2008	340	0	963	0	121	-6	57
20081201	1-Dec-2008	529.5	0	2217.5	0	103	1	52
20090101	1-Jan-2009	715	6.5	1358	28	76	-27	24
20090201	1-Feb-2009	406.5	0	928	4	96	-32	32
20090301	1-Mar-2009	569	0	2208.5	15.5	137	3	70
20090401	1-Apr-2009	592	0	1668	0	180	35	108
20090501	1-May-2009	641.5	0	2404	0	197	102	150
20090601	1-Jun-2009	394	0	726	0	242	141	192
20090701	1-Jul-2009	289.5	0	1072.5	0	229	138	184
20090801	1-Aug-2009	440.5	0	1596	0	231	150	190
20090901	1-Sep-2009	1630.5	0	5487.5	0	204	128	166
20091001	1-Oct-2009	1124	0	2864	0	155	57	106
20091101	1-Nov-2009	800.5	0	2037	0	148	31	89
20091201	1-Dec-2009	936	57.5	2814	57	74	-35	19
20100101	1-Jan-2010	1002	165	3225	169	54	-59	-2
20100201	1-Feb-2010	331.5	228.5	753	197	42	-63	-10
20100301	1-Mar-2010	481.5	127	1573	129.5	111	-3	54
20100401	1-Apr-2010	965	0	1361	0	217	47	132
20100501	1-May-2010	460	0	1389.5	0	209	112	160
20100601	1-Jun-2010	437.6666667	0	1367.333333	0	249	157	203
20100701	1-Jul-2010	243	0	1211.666667	0	250	167	209
20100801	1-Aug-2010	648.6666667	0	1528	0	241	171	206
20100901	1-Sep-2010	391	0	1046.666667	0	227	119	173
20101001	1-Oct-2010	652	0	1469.333333	0	178	49	113
20101101	1-Nov-2010	1141.333333	0	1776.666667	0	132	6	69
20101201	1-Dec-2010	790.3333333	190.6666667	1069	200.6666667	40	-71	-15
20110101	1-Jan-2011	292.6666667	190.5	742.6666667	148.5	49	-56	-3
20110201	1-Feb-2011	559.6666667	25	842	25	108	-13	48
20110301	1-Mar-2011	1916.666667	0	3812	0	132	22	77
20110401	1-Apr-2011	1699	0	2616.5	0	195	61	128
20110501	1-May-2011	236	0	498	0	207	94	151
20110601	1-Jun-2011	169	0	485	0	251	145	198
20110701	1-Jul-2011	524.5	0	2190.5	0	243	168	205
20110801	1-Aug-2011	357	0	688	0	246	155	201
20110901	1-Sep-2011	1740	0	3539	0	231	131	181
20111001	1-Oct-2011	254	0	794	0	168	46	107
20111101	1-Nov-2011	1300.5	0	3221.5	4	129	14	72
20111201	1-Dec-2011	760.5	0	2370.5	0	105	-7	49
20120101	1-Jan-2012	491.5	25	2089.5	10.5	94	-20	37
20120201	1-Feb-2012	139.5	6.5	436.5	6.5	111	-24	43
20120301	1-Mar-2012	575.5	0	1251.5	0	176	55	115
20120401	1-Apr-2012	623.5	0	1407	0	193	55	124
20120501	1-May-2012	542.5	0	1692.5	0	240	125	182
20120601	1-Jun-2012	326.5	0	962.5	0	226	133	180
20120701	1-Jul-2012	621.6666667	0	2677	0	251	174	213
20120801	1-Aug-2012	244	0	1227.333333	0	194	139	167
20120901	1-Sep-2012	1162		2798.5	0			
20121001	1-Oct-2012	1079.5		1539.5	0			
20121101	1-Nov-2012	105.5	13	210.5	6.5			
20121201	1-Dec-2012	692.5	0	1162.5	0			
20130101	1-Jan-2013	1381	2.5	3386.666667	3.333333333			
20130201	1-Feb-2013	621.3333333	53.33333333	1693	142.6666667			
20130301	1-Mar-2013	554.3333333	21.33333333	1276.666667	27.33333333			
20130401	1-Apr-2013	1172.666667	0	3058	0			
20130501	1-May-2013	803.3333333	0	2163	0	202	107	155
20130601	1-Jun-2013	1171	0	3820	0	230	160	195
20130701	1-Jul-2013	1523.333333	0	5684.666667	0	222	173	198
20130801	1-Aug-2013	520.6666667	0	2005.666667	0	235	169	202
20130901	1-Sep-2013	495		1105.333333	0	227	141	184
20131001	1-Oct-2013	497	0	650.3333333	0	180	94	137
20131101	1-Nov-2013	1055.666667	4	2289	6	119	17	68
20131201	1-Dec-2013	1107.333333	0	3934	0	103	25	64
20140101	1-Jan-2014	404	34	890.6666667	43.66666667	57	-68	-3
